id,type,pLoad,qLoad,pGen,vSet
1,3,0.0,0.0,84.0,0.99
2,1,35.0,14.0,0.0,1.0
3,2,0.0,0.0,77.7,1.039
4,2,0.0,0.0,93.1,1.02
5,1,48.5,19.4,0.0,1.0
6,1,52.8,21.1,0.0,1.0
7,1,52.0,20.8,0.0,1.0
8,1,17.0,6.8,0.0,1.0
9,1,47.4,19.0,0.0,1.0
10,1,37.4,15.0,0.0,1.0
11,1,54.1,21.6,0.0,1.0
12,1,33.4,13.4,0.0,1.0
13,2,0.0,0.0,85.3,1.005
14,1,19.9,8.0,0.0,1.0
15,1,34.8,13.9,0.0,1.0
16,1,26.0,10.4,0.0,1.0
17,1,27.0,10.8,0.0,1.0
18,1,15.3,6.1,0.0,1.0
19,1,50.2,20.1,0.0,1.0
20,1,38.9,15.6,0.0,1.0
21,1,58.5,23.4,0.0,1.0
22,1,28.4,11.4,0.0,1.0
23,1,27.7,11.1,0.0,1.0
24,2,0.0,0.0,25.3,0.99
25,1,14.9,6.0,0.0,1.0
26,1,23.8,9.5,0.0,1.0
27,1,51.2,20.5,0.0,1.0
28,1,9.9,4.0,0.0,1.0
29,1,50.7,20.3,0.0,1.0
30,1,16.5,6.6,0.0,1.0
31,1,8.2,3.3,0.0,1.0
32,1,57.5,23.0,0.0,1.0
33,1,15.0,6.0,0.0,1.0
34,1,10.8,4.3,0.0,1.0
35,1,55.2,22.1,0.0,1.0
36,1,12.7,5.1,0.0,1.0
37,1,53.7,21.5,0.0,1.0
38,2,0.0,0.0,97.2,1.022
39,2,0.0,0.0,95.2,1.043
40,2,0.0,0.0,70.4,1.018
41,1,16.4,6.6,0.0,1.0
42,1,8.0,3.2,0.0,1.0
43,2,0.0,0.0,45.2,1.012
44,2,0.0,0.0,93.2,1.034
45,1,46.5,18.6,0.0,1.0
46,1,49.1,19.6,0.0,1.0
47,2,0.0,0.0,83.1,1.04
48,1,8.3,3.3,0.0,1.0
49,1,9.0,3.6,0.0,1.0
50,1,46.8,18.7,0.0,1.0
51,1,44.1,17.6,0.0,1.0
52,1,45.7,18.3,0.0,1.0
53,1,40.7,16.3,0.0,1.0
54,1,2.1,0.8,0.0,1.0
55,1,44.3,17.7,0.0,1.0
56,1,12.1,4.8,0.0,1.0
57,1,27.3,10.9,0.0,1.0
58,1,12.3,4.9,0.0,1.0
59,1,42.1,16.8,0.0,1.0
60,1,19.9,8.0,0.0,1.0
61,1,47.0,18.8,0.0,1.0
62,1,44.5,17.8,0.0,1.0
63,1,8.5,3.4,0.0,1.0
64,2,0.0,0.0,66.1,0.996
65,1,35.3,14.1,0.0,1.0
66,2,0.0,0.0,76.0,0.982
67,1,29.1,11.6,0.0,1.0
68,1,18.3,7.3,0.0,1.0
69,1,53.7,21.5,0.0,1.0
70,1,54.5,21.8,0.0,1.0
71,1,28.9,11.6,0.0,1.0
72,1,26.0,10.4,0.0,1.0
73,2,0.0,0.0,66.3,1.031
74,1,50.0,20.0,0.0,1.0
75,1,18.8,7.5,0.0,1.0
76,1,21.3,8.5,0.0,1.0
77,1,25.4,10.2,0.0,1.0
78,2,0.0,0.0,78.7,1.006
79,1,45.0,18.0,0.0,1.0
80,1,36.7,14.7,0.0,1.0
81,2,0.0,0.0,47.2,1.007
82,1,4.2,1.7,0.0,1.0
83,1,32.5,13.0,0.0,1.0
84,1,18.9,7.6,0.0,1.0
85,1,20.3,8.1,0.0,1.0
86,1,37.1,14.8,0.0,1.0
87,1,58.7,23.5,0.0,1.0
88,1,0.3,0.1,0.0,1.0
89,1,58.0,23.2,0.0,1.0
90,2,0.0,0.0,31.7,1.018
91,1,48.6,19.4,0.0,1.0
92,2,0.0,0.0,66.8,1.048
93,1,37.9,15.2,0.0,1.0
94,1,7.2,2.9,0.0,1.0
95,1,50.2,20.1,0.0,1.0
96,1,15.8,6.3,0.0,1.0
97,1,51.0,20.4,0.0,1.0
98,1,14.9,6.0,0.0,1.0
99,2,0.0,0.0,60.6,0.987
100,1,7.6,3.0,0.0,1.0
101,1,18.2,7.3,0.0,1.0
102,1,0.8,0.3,0.0,1.0
103,1,38.2,15.3,0.0,1.0
104,1,56.1,22.4,0.0,1.0
105,1,27.2,10.9,0.0,1.0
106,1,56.8,22.7,0.0,1.0
107,1,1.4,0.6,0.0,1.0
108,1,49.3,19.7,0.0,1.0
109,1,48.5,19.4,0.0,1.0
110,1,28.5,11.4,0.0,1.0
111,1,56.7,22.7,0.0,1.0
112,1,25.8,10.3,0.0,1.0
113,1,40.0,16.0,0.0,1.0
114,2,0.0,0.0,56.2,1.011
115,1,47.1,18.8,0.0,1.0
116,1,21.1,8.4,0.0,1.0
117,1,50.7,20.3,0.0,1.0
118,1,52.4,21.0,0.0,1.0
