from,to,r,x,b
1,2,0.0251,0.1163,0.0154
2,3,0.0276,0.1122,0.0353
3,4,0.0192,0.1121,0.0166
4,5,0.016,0.0441,0.0561
5,6,0.0374,0.099,0.0373
6,7,0.0252,0.0272,0.0106
7,8,0.015,0.1145,0.0472
8,9,0.0188,0.0914,0.0031
9,10,0.0072,0.083,0.0531
10,11,0.0283,0.0949,0.054
11,12,0.0184,0.0353,0.0437
12,13,0.0335,0.0882,0.019
13,14,0.013,0.0187,0.0335
14,15,0.0095,0.0144,0.0353
15,16,0.0221,0.0832,0.0569
16,17,0.0247,0.0181,0.0045
17,18,0.005,0.0781,0.0544
18,19,0.0241,0.0906,0.0431
19,20,0.0281,0.1009,0.0535
20,21,0.0364,0.1131,0.0359
21,22,0.0111,0.1171,0.046
22,23,0.0039,0.0644,0.0509
23,24,0.0071,0.0671,0.0505
24,25,0.0375,0.065,0.0374
25,26,0.0213,0.0679,0.0091
26,27,0.0195,0.0193,0.0023
27,28,0.0194,0.018,0.0205
28,29,0.0128,0.1049,0.0551
29,30,0.0112,0.0892,0.0325
30,31,0.0191,0.0365,0.0342
31,32,0.0054,0.0634,0.0391
32,33,0.007,0.1064,0.0137
33,34,0.0329,0.021,0.0465
34,35,0.0229,0.0583,0.0236
35,36,0.0053,0.0833,0.039
36,37,0.0388,0.0501,0.0214
37,38,0.0302,0.037,0.0488
38,39,0.0247,0.0856,0.0039
39,40,0.0212,0.0952,0.0276
40,41,0.0059,0.1194,0.0298
41,42,0.0283,0.0491,0.0246
42,43,0.0235,0.0866,0.0288
43,44,0.0233,0.1165,0.031
44,45,0.037,0.0835,0.0013
45,46,0.023,0.1002,0.0447
46,47,0.0127,0.0463,0.0228
47,48,0.021,0.0182,0.0266
48,49,0.0197,0.0934,0.0132
49,50,0.0027,0.0252,0.0233
50,51,0.0318,0.0718,0.0386
51,52,0.0166,0.0744,0.0155
52,53,0.0071,0.1105,0.0531
53,54,0.0158,0.0639,0.048
54,55,0.0082,0.0576,0.0476
55,56,0.0164,0.0922,0.0467
56,57,0.0274,0.0718,0.0076
57,58,0.0146,0.0295,0.0145
58,59,0.0032,0.0852,0.0134
59,60,0.008,0.0165,0.0541
60,61,0.0057,0.0207,0.0511
61,62,0.0081,0.0865,0.0526
62,63,0.0267,0.1151,0.007
63,64,0.0128,0.1063,0.0574
64,65,0.0093,0.0191,0.0092
65,66,0.0124,0.0533,0.0169
66,67,0.0289,0.068,0.0104
67,68,0.0168,0.1082,0.0087
68,69,0.0163,0.0631,0.0097
69,70,0.0041,0.0278,0.0367
70,71,0.0189,0.1112,0.0218
71,72,0.0354,0.1051,0.0164
72,73,0.0109,0.0231,0.053
73,74,0.0355,0.1132,0.0457
74,75,0.0124,0.0311,0.034
75,76,0.0221,0.0298,0.0562
76,77,0.0213,0.0452,0.0586
77,78,0.0272,0.0858,0.01
78,79,0.0037,0.109,0.037
